,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer
0,28auw54,berlin,50,max. 20 km,2.130.000 €,['906 m²'],[]
1,274he5l,berlin,50,max. 10 km,690.000 €,['323 m²'],['8 Zi.']
2,26ekx52,berlin,50,max. 10 km,698.000 €,['180 m²'],['4 Zi.']
3,26zkl56,berlin,50,max. 10 km,429.000 €,['97 m²'],['4 Zi.']
4,27drw5w,berlin,50,max. 10 km,548.000 €,['90 m²'],['4 Zi.']
5,28y9q52,berlin,50,max. 10 km,490.000 €,['80 m²'],['4 Zi.']
6,279kt5y,berlin,50,max. 10 km,1.700.000 €,['186.62 m²'],['8 Zi.']
7,27a225p,berlin,50,max. 10 km,7.500.000 €,['524.46 m²'],['9.5 Zi.']
8,27sge5l,berlin,50,max. 10 km,4.490.000 €,['395 m²'],['6 Zi.']
9,27w5v5j,berlin,50,max. 15 km,795.000 €,['170 m²'],['8 Zi.']
10,27jx85v,berlin,50,max. 15 km,699.500 €,['110.9 m²'],['4 Zi.']
11,27bge5l,berlin,50,max. 15 km,1.100.000 €,['184 m²'],['5 Zi.']
12,27nhe5l,berlin,50,max. 15 km,1.140.000 €,['154 m²'],['5 Zi.']
13,28xyz53,berlin,50,max. 15 km,549.000 €,['135 m²'],['4 Zi.']
14,26eq85w,berlin,50,max. 15 km,950.000 €,['286 m²'],['9 Zi.']
15,26pew5r,berlin,50,max. 15 km,1.590.000 €,['147 m²'],['5 Zi.']
16,28yzs53,berlin,50,max. 15 km,760.000 €,['138.87 m²'],['5 Zi.']
17,27yc95r,berlin,50,max. 15 km,344.000 €,['190.8 m²'],['1 Zi.']
18,26faw5f,berlin,50,max. 15 km,2.950.000 €,['211 m²'],['4 Zi.']
19,272pd5t,berlin,50,max. 15 km,550.000 €,['177.1 m²'],['8 Zi.']
20,28ejp53,berlin,50,max. 15 km,1.499.000 €,['136 m²'],['5 Zi.']
21,27nbb5m,berlin,50,max. 15 km,4.200.000 €,['499.11 m²'],['10 Zi.']
22,28qa458,berlin,50,max. 15 km,449.000 €,['104 m²'],['5 Zi.']
23,27b4y5h,berlin,50,max. 15 km,595.000 €,['120 m²'],['4 Zi.']
24,27fz95t,berlin,50,max. 15 km,298.000 €,['70 m²'],['3 Zi.']
25,27t645v,berlin,50,max. 15 km,1.225.000 €,['341 m²'],['10 Zi.']
26,27w3b5u,berlin,50,max. 20 km,485.000 €,['104.12 m²'],['4 Zi.']
27,278fh5k,berlin,50,max. 20 km,2.499.999 €,['619 m²'],['24 Zi.']
28,28mpj55,berlin,50,max. 20 km,1.190.000 €,['210 m²'],['4.5 Zi.']
29,27v535b,berlin,50,max. 20 km,5.749.000 €,['1016 m²'],['17 Zi.']
30,27ngx5c,berlin,50,max. 20 km,690.000 €,['144 m²'],['7 Zi.']
31,27zly57,berlin,50,max. 30 km,499.000 €,['109 m²'],['4 Zi.']
32,275g75s,berlin,50,max. 30 km,369.000 €,['166.22 m²'],['4 Zi.']
33,27ygr5d,berlin,50,max. 30 km,675.000 €,['125.31 m²'],['4 Zi.']
34,27tgt53,berlin,50,max. 30 km,799.000 €,['189 m²'],['6 Zi.']
35,26bas5q,berlin,50,max. 30 km,598.000 €,['135.78 m²'],['5 Zi.']
36,258m75z,berlin,50,max. 30 km,298.000 €,['70 m²'],['3 Zi.']
37,27je65f,berlin,50,max. 30 km,339.000 €,['140 m²'],['6 Zi.']
38,27sl65n,berlin,50,max. 30 km,598.000 €,['305 m²'],['10 Zi.']
39,255kf5z,berlin,50,max. 30 km,1.350.000 €,['545 m²'],['25 Zi.']
40,28xbz56,hamburg,50,max. 20 km,875.000 €,['193 m²'],['5 Zi.']
41,27tty5x,hamburg,50,max. 50 km,745.000 €,['148.76 m²'],['6 Zi.']
42,263qw5a,hamburg,50,max. 2 km,44.444 €,['20 m²'],['2 Zi.']
43,26u4j5v,hamburg,50,max. 5 km,4.600.000 €,['296 m²'],['9 Zi.']
44,27zq55u,hamburg,50,max. 5 km,1.790.000 €,['113 m²'],['5 Zi.']
45,28hv957,hamburg,50,max. 5 km,3.850.000 €,['410 m²'],['10 Zi.']
46,27xrn5s,hamburg,50,max. 10 km,499.000 €,['127 m²'],['4 Zi.']
47,28vqm56,hamburg,50,max. 10 km,3.950.000 €,['394.62 m²'],['13 Zi.']
48,27g2s5v,hamburg,50,max. 10 km,650.000 €,['71 m²'],['3.5 Zi.']
49,28am458,hamburg,50,max. 10 km,2.295.000 €,['272.67 m²'],['5 Zi.']
50,27ld55q,hamburg,50,max. 10 km,1.395.000 €,['128.17 m²'],['4 Zi.']
51,26pft5z,hamburg,50,max. 15 km,925.000 €,['137 m²'],['5 Zi.']
52,28ual55,hamburg,50,max. 15 km,1.495.000 €,['140 m²'],['5 Zi.']
53,28z8a54,hamburg,50,max. 15 km,1.999.000 €,['160.23 m²'],['6 Zi.']
54,27dea5z,hamburg,50,max. 15 km,10.900.000 €,['2173 m²'],['60 Zi.']
55,28zfu53,hamburg,50,max. 15 km,759.000 €,['138 m²'],['4.5 Zi.']
56,272kw52,hamburg,50,max. 15 km,559.000 €,['120 m²'],['5 Zi.']
57,27jk65y,hamburg,50,max. 15 km,440.000 €,['157.7 m²'],['7 Zi.']
58,27cbj5g,hamburg,50,max. 20 km,1.790.000 €,['240 m²'],['7 Zi.']
59,27rzm5z,hamburg,50,max. 20 km,698.000 €,['127.3 m²'],['5 Zi.']
60,28zaz57,hamburg,50,max. 20 km,1.295.000 €,['329 m²'],['10.5 Zi.']
61,2696k59,hamburg,50,max. 20 km,1.149.000 €,['189.92 m²'],['7.5 Zi.']
62,27nbt5c,hamburg,50,max. 20 km,1.087.000 €,['131 m²'],['4.5 Zi.']
63,28gdt52,hamburg,50,max. 20 km,299.000 €,['68 m²'],['3 Zi.']
64,27xjm5u,hamburg,50,max. 20 km,498.000 €,['113 m²'],['4 Zi.']
65,27ta55q,hamburg,50,max. 20 km,45.000 €,['50 m²'],['4 Zi.']
66,27hr25z,hamburg,50,max. 30 km,1.590.000 €,['176 m²'],['5 Zi.']
67,26ft85a,hamburg,50,max. 30 km,635.000 €,['118 m²'],['4 Zi.']
68,27mln5y,hamburg,50,max. 30 km,435.000 €,['108 m²'],['4 Zi.']
